Gilbert Perreault,F,1191,512,814,1326,41,2010-2014
Dave Andreychuk,F,837,368,436,804,22,1999-2009
Rick Martin,F,681,382,313,695,12,1994-1995
Craig Ramsay,F,1070,252,420,672,324,2021-2022
Phil Housley,D,608,178,380,558,3,1970-1972
Rene Robert,F,524,222,330,552,47,1986-1990
Don Luce,F,766,216,310,526,214,1985-1989
Jason Pominville,F,733,217,304,521,20,1970-1971
Mike Foligno,F,664,247,264,511,115,1982-2001
Danny Gare,F,503,267,233,500,187,2017-2018
Thomas Vanek,F,598,254,243,497,29,2014-2015
Miroslav Satan,F,578,224,232,456,44,1986-1990
Alexander Mogilny,F,381,211,233,444,44,2019-2022
Derek Roy,F,549,161,266,427,39,1993-1996
Pat Lafontaine,F,268,158,227,385,3,1970-1974
Dale Hawerchuk,F,342,110,275,385,-29,1989-2001
Ric Seiling,F,664,176,200,376,116,2016-2017
Jack Eichel,F,375,139,216,355,-69,2015-2018
Jochen Hecht,F,613,138,207,345,67,1970-1972
Maxim Afinogenov,F,569,134,200,334,-26,2016-2018
Jim Lorentz,F,487,134,197,331,-6,1992-1999
Christian Ruuttu,F,438,101,230,331,16,1998-2003
Mike Ramsey,D,911,73,256,329,166,1983-1989
Pierre Turgeon,F,322,122,201,323,13,1970-1972
Drew Stafford,F,563,145,177,322,-20,2002-2004
Tim Connolly,F,464,94,226,320,-2,2017-2019
Andre Savard,F,467,130,175,305,67,2014-2015
Donald Audette,F,421,166,131,297,-6,2018-2019
Sam Reinhart,F,454,134,161,295,-97,2007-2008
Alexei Zhitnik,D,712,55,234,289,-33,2021-2022
Doug Bodger,D,479,54,233,287,15,1995-2007
Lindy Ruff,F,608,102,183,285,3,2020-2022
Jerry Korab,D,537,67,216,283,78,1993-1994
John Tucker,F,345,116,154,270,2,1995-1996
Tony McKegney,F,363,127,141,268,39,1988-1996
Curtis Brown,F,542,109,143,252,76,2014-2020
Rasmus Ristolainen,D,542,46,199,245,-163,1978-1979
Bill Hajt,D,854,42,202,244,320,2018-2021
Ales Kotalik,F,426,114,126,240,-24,2002-2004
Tyler Ennis,F,419,97,139,236,-65,1992-1995
Derek Plante,F,395,91,145,236,21,1995-1998
Daniel Briere,F,225,92,138,230,14,2000-2004
Jim Schoenfeld,D,584,45,183,228,230,2010-2012
Jean-Pierre Dumont,F,362,102,121,223,-33,1975-1979
Mike Peca,F,363,96,121,217,50,2011-2013
John Van Boxmeer,D,294,49,166,215,70,2002-2007
Gerry Meehan,F,306,94,114,208,-44,1973-1976
Gilles Hamel,F,365,92,114,206,-28,2003-2004
Paul Cyr,F,343,85,111,196,-29,1994-2004
Kyle Okposo,F,369,76,114,190,-67,1990-1993
Chris Drury,F,234,85,104,189,-2,1986-1987
Richard Smehlik,D,589,47,135,182,67,2020-2022
Paul Gaustad,F,479,71,110,181,14,2016-2017
Ryan OReilly,F,224,65,111,176,-40,1995-1998
Brian Campbell,D,391,32,144,176,-7,1972-1974
Stu Barnes,F,310,67,105,172,-11,2021-2022
Jocelyn Guevremont,D,324,38,130,168,143,2008-2011
Brian Holzinger,F,352,70,97,167,-6,1971-1972
Jason Woolley,D,365,40,125,165,31,2010-2011
Rick Dudley,F,279,70,94,164,57,2020-2022
Derek Smith,F,244,65,98,163,38,1999-2008
Michal Grosek,F,308,62,98,160,67,2006-2007
Jason Dawe,F,290,79,79,158,11,1991-1994
Brad May,F,425,67,89,156,-10,2016-2017
Zemgus Girgensons,F,532,71,83,154,-59,1972-1978
Tyler Myers,D,365,45,106,151,-31,2015-2016
Yuri Khmylev,F,254,63,87,150,15,1991-1993
