1,Ryan Miller,1980,540,2.6,0.916,284,186,28,31659,0,9,9,24
2,Dominik Hasek,1965,491,2.22,0.926,234,170,55,28664,0,13,13,104
3,Don Edwards,1955,307,2.91,0.896,156,83,14,17943,0,11,11,32
4,Martin Biron,1977,300,2.53,0.909,134,115,18,16774,0,5,5,71
5,Tom Barrasso,1965,266,3.29,0.884,124,102,13,15418,0,17,17,182
6,Bob Sauve,1955,246,3.21,0.877,119,76,7,14041,0,9,9,20
7,Daren Puppa,1965,215,3.41,0.888,96,68,5,11760,0,14,14,30
8,Roger Crozier,1942,202,3.23,0.901,74,76,10,10966,0,3,3,24
9,Jacques Cloutier,1960,144,3.7,0.871,50,58,1,7418,0,7,7,29
10,Robin Lehner,1991,133,2.77,0.916,42,61,6,7421,0,2,2,16
11,Dave Dryden,1941,120,3.05,0.897,43,45,5,6425,0,2,2,4
12,Jhonas Enroth,1988,118,2.92,0.91,38,56,4,6627,0,0,0,2
13,Linus Ullmark,1993,117,2.78,0.912,50,47,3,6676,0,1,1,4
14,Gerry Desjardins,1944,116,2.82,0.894,66,30,5,6791,0,1,1,4
15,Clint Malarchuk,1961,102,3.4,0.894,39,39,2,5692,0,6,6,41
16,Carter Hutton,1985,94,3.12,0.902,31,49,2,5290,0,2,2,8
17,Chad Johnson,1986,81,2.85,0.907,32,32,1,4365,0,2,2,0
18,Mika Noronen,1979,67,2.64,0.902,22,31,3,3482,1,0,1,4
19,Grant Fuhr,1962,64,3.6,0.886,25,29,2,3600,0,4,4,26
20,Gary Bromley,1950,63,3.21,0.872,29,17,4,3443,0,4,4,4
21,Patrick Lalime,1974,47,2.98,0.901,9,26,0,2516,0,1,1,2
22,Dustin Tokarski,1989,38,3.36,0.902,9,19,1,2159,0,1,1,0
23,Joe Daley,1943,38,3.74,0.895,12,16,1,2069,0,1,1,12
24,Tom Draper,1966,37,3.37,0.89,15,15,1,2067,0,3,3,4
25,Dwayne Roloson,1969,32,2.8,0.9,7,15,1,1588,0,0,0,4
26,Steve Shields,1972,31,2.91,0.91,7,14,0,1649,0,0,0,23
27,Michal Neuvirth,1988,29,2.96,0.921,6,19,0,1661,0,0,0,0
28,Craig Anderson,1981,28,3.09,0.9,15,11,0,1688,0,0,0,0
29,Anders Nilsson,1990,26,2.67,0.923,10,10,1,1484,0,0,0,0
30,Andrei Trefilov,1969,25,3.54,0.902,8,10,0,1253,0,0,0,4
31,Darcy Wakaluk,1966,22,3.55,0.869,5,8,0,844,0,0,0,2
32,Al Smith,1945,21,3.37,0.87,9,6,0,1103,0,0,0,0
33,Norm Farr,1947,19,3.5,0.894,2,6,0,720,0,0,0,2
34,Anders Lindb�ck,1988,16,2.76,0.924,4,8,0,891,0,0,0,4
35,Ukko-Pekka Luukkonen,1999,13,3.08,0.913,3,8,0,720,0,0,0,0
36,Jonas Johansson,1995,13,3.39,0.888,1,8,0,707,0,0,0,0
37,Matt Hackett,1990,13,3.55,0.899,1,10,0,676,0,0,0,0
38,Aaron Dell,1989,12,4.03,0.893,1,8,0,565,0,0,0,2
39,Jocelyn Thibault,1975,12,3.31,0.869,3,4,2,507,0,0,0,0
40,Bob Essensa,1965,9,2.91,0.85,0,5,0,350,0,0,0,0
41,Nathan Lieuwen,1991,7,2.97,0.906,1,4,0,363,0,0,0,0
42,Michael Houser,1992,6,2.98,0.917,4,2,0,363,0,0,0,0
43,Robb Stauber,1967,6,3.79,0.867,2,3,0,317,0,0,0,0
44,Mikael Tellqvist,1979,6,2.35,0.928,2,1,0,230,0,0,0,0
45,Paul Harrison,1955,6,3.67,0.844,2,1,0,229,0,0,0,2
46,Phil Myre,1948,5,4.21,0.861,3,2,0,299,0,0,0,2
47,John Blue,1966,5,3.52,0.891,2,2,0,255,0,0,0,0
48,Ty Conklin,1976,5,3.43,0.892,1,2,0,227,0,0,0,2
49,Malcolm Subban,1993,4,4.85,0.871,0,2,0,210,0,0,0,0
50,David Littman,1967,2,4.38,0.851,0,1,0,96,0,0,0,0
51,Connor Knapp,1990,2,3.14,0.875,0,0,0,77,0,1,1,0
52,Darren Eliot,1961,2,6.26,0.837,0,0,0,67,0,0,0,0
53,Drew MacIntyre,1983,2,1.38,0.944,0,0,0,43,0,0,0,0
54,Randy Ireland,1957,2,6.02,0.857,0,0,0,30,0,0,0,0
55,Andrei Makarov,1993,1,3,0.917,0,1,0,60,0,0,0,0
56,Jason Kasdorf,1992,1,4,0.867,0,1,0,60,0,0,0,0
57,Adam Wilcox,1992,1,0,1,0,1,0,39,0,0,0,0
58,Peter Skudra,1973,1,0,,0,0,0,0,0,0,0,0
